cycle,t,drain_s,failures,ferry_cri_up,ferry_cri_fds,ferry_cri_rss_mib,ferry_cri_threads,ferry_streamer_up,ferry_streamer_fds,ferry_streamer_rss_mib,ferry_streamer_threads,ferry_proxyd_up,ferry_proxyd_fds,ferry_proxyd_rss_mib,ferry_proxyd_threads,ferry_proxy_up,ferry_proxy_fds,ferry_proxy_rss_mib,ferry_proxy_threads,ferry_netpol_up,ferry_netpol_fds,ferry_netpol_rss_mib,ferry_netpol_threads,ferry_storage_up,ferry_storage_fds,ferry_storage_rss_mib,ferry_storage_threads,kubelet_up,kubelet_fds,kubelet_rss_mib,kubelet_threads,etcd_up,etcd_fds,etcd_rss_mib,etcd_threads,kube_apiserver_up,kube_apiserver_fds,kube_apiserver_rss_mib,kube_apiserver_threads,kube_controller_manager_up,kube_controller_manager_fds,kube_controller_manager_rss_mib,kube_controller_manager_threads,kube_scheduler_up,kube_scheduler_fds,kube_scheduler_rss_mib,kube_scheduler_threads,vms,run_files,run_sockets,run_dirs,run_mib,run_logs_mib,state_mib,etcd_db_mib,if_bridge,if_vmenet,if_total,tcp_listen,tcp_established,tcp_close_wait,udp,unix_socks,api_up,k8s_pods,k8s_pods_all,k8s_endpoints,k8s_events,host_used_mib
55,1790307050.34,3.3,0,1,61,390,45,1,11,44,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,120,41,1,82,221,23,1,117,462,28,1,35,131,24,1,16,68,22,1,295,2,161,661,24,492,96,6,12,39,4,7,0,1,30,1,0,1,0,37033,66336
56,1790307108.27,3.3,0,1,61,391,46,1,11,44,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,120,41,1,82,221,23,1,117,462,28,1,35,131,24,1,16,68,22,1,274,2,161,662,25,492,96,6,12,39,4,7,0,1,30,1,0,1,0,37333,66109
57,1790307148.29,3.5,0,1,61,391,45,1,11,44,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,120,41,1,82,221,23,1,117,462,28,1,35,131,24,1,16,68,22,1,261,2,121,563,25,492,96,6,12,39,4,7,0,1,30,1,0,1,0,37633,66396
58,1790307188.77,3.4,0,1,61,392,44,1,11,44,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,120,41,1,82,221,23,1,117,462,28,1,35,131,24,1,16,68,22,1,367,2,241,860,25,492,96,6,12,39,4,7,0,1,30,1,0,1,0,37932,66342
59,1790307229.17,3.4,0,1,61,395,44,1,11,44,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,120,41,1,82,221,23,1,117,463,28,1,35,131,24,1,16,68,22,1,311,2,161,663,26,492,96,6,12,39,4,7,0,1,30,1,0,1,0,38232,66194
60,1790307275.15,3.4,0,1,61,396,46,1,11,44,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,120,41,1,82,224,23,1,117,463,28,1,35,131,24,1,16,68,22,1,272,2,161,663,26,492,96,6,12,39,4,7,0,1,30,1,0,1,0,38532,66972
61,1790307316.00,3.5,0,1,61,398,47,1,11,44,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,120,41,1,82,226,23,1,117,463,28,1,35,131,24,1,16,68,22,1,192,2,41,372,27,508,112,6,12,39,4,7,0,1,30,1,0,1,0,38831,66067
62,1790307364.72,3.4,0,1,61,399,46,1,11,44,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,120,41,1,83,226,23,1,117,463,28,1,35,131,24,1,16,68,22,1,302,2,159,664,27,508,112,6,12,39,4,7,0,1,30,1,0,1,0,39127,66579
63,1790307405.16,3.5,0,1,61,401,46,1,11,44,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,120,41,1,83,226,23,1,117,463,28,1,35,131,24,1,16,68,22,1,281,2,161,665,28,508,112,6,12,39,4,7,0,1,30,1,0,1,0,39427,66185
64,1790307498.62,3.4,0,1,61,403,45,1,11,44,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,120,41,1,83,227,23,1,117,463,28,1,35,131,24,1,16,68,22,1,160,2,55,403,28,508,112,6,12,39,4,7,0,1,30,1,0,1,0,39727,66027
65,1790307540.13,3.4,0,1,61,404,45,1,11,44,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,120,41,1,83,227,23,1,117,463,28,1,35,131,24,1,16,68,22,1,292,2,175,700,28,508,112,6,12,39,4,7,0,1,30,1,0,1,0,40027,66169
66,1790307581.60,3.4,0,1,61,405,45,1,11,44,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,120,41,1,83,228,23,1,117,463,28,1,35,132,24,1,16,68,22,1,272,2,161,666,29,508,112,6,12,39,4,7,0,1,30,1,0,1,0,40326,66026
67,1790307622.34,3.5,0,1,61,406,48,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,120,41,1,82,228,23,1,117,463,28,1,35,132,24,1,16,68,22,1,256,2,142,567,29,508,112,6,12,39,4,7,0,1,30,1,0,1,0,40626,66275
68,1790307663.99,3.5,0,1,61,407,47,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,120,41,1,82,228,23,1,117,463,28,1,35,132,24,1,16,69,22,1,368,2,241,865,30,508,112,6,12,39,4,7,0,1,30,1,0,1,0,40926,66461
69,1790307705.50,3.4,0,1,61,409,46,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,120,41,1,82,228,23,1,117,463,28,1,35,132,24,1,16,69,22,1,295,2,161,667,30,508,112,6,12,39,4,7,0,1,30,1,0,1,0,41225,66218
70,1790307768.71,3.5,0,1,61,411,47,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,120,41,1,82,229,23,1,117,463,28,1,35,132,24,1,16,69,22,1,272,2,161,668,31,508,112,6,12,39,4,7,0,1,30,1,0,1,0,41525,66138
71,1790307811.50,3.2,0,1,61,413,47,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,120,41,1,82,229,23,1,117,463,28,1,35,132,24,1,16,69,22,1,275,2,121,569,31,508,112,6,12,39,4,7,0,1,30,1,0,1,0,41825,66059
72,1790307854.45,3.4,0,1,61,414,45,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,120,41,1,82,229,23,1,117,463,28,1,35,132,24,1,16,69,22,1,394,2,241,866,31,508,112,6,12,39,4,7,0,1,30,1,0,1,0,42125,66095
73,1790307896.08,3.5,0,1,61,416,45,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,120,41,1,82,231,23,1,117,463,28,1,35,132,24,1,16,69,22,1,315,2,161,669,32,508,112,6,12,39,4,7,0,1,30,1,0,1,0,42425,66310
74,1790307970.67,3.4,0,1,61,417,46,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,120,41,1,82,231,23,1,117,463,28,1,35,132,24,1,16,69,22,1,270,2,161,669,32,508,112,6,12,39,4,7,0,1,30,1,0,1,0,42725,66212
75,1790308013.13,3.2,0,1,61,418,45,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,120,41,1,82,231,23,1,117,463,28,1,35,132,24,1,16,69,22,1,279,2,161,670,33,508,112,6,12,39,4,7,0,1,30,1,0,1,0,43025,66905
76,1790308055.74,3.4,0,1,61,419,45,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,120,41,1,82,232,23,1,117,463,28,1,35,132,24,1,16,69,22,1,267,2,159,665,33,508,112,6,12,39,4,7,0,1,30,1,0,1,0,43321,65995
